::1 - - [18/Jan/2016:23:32:59 +0100] "GET /phpmyadmin/ HTTP/1.1" 200 7992
::1 - - [18/Jan/2016:23:33:00 +0100] "GET /phpmyadmin/phpmyadmin.css.php?server=1&token=64fd188b4807dd82d212838710c00940&nocache=4357661570ltr HTTP/1.1" 200 88608
::1 - - [18/Jan/2016:23:33:00 +0100] "GET /phpmyadmin/js/messages.php?lang=nl&db=&server=0&token=7d22ee4a53e3e401cd712c73c9386306 HTTP/1.1" 200 18194
::1 - - [18/Jan/2016:23:33:02 +0100] "POST /phpmyadmin/index.php HTTP/1.1" 302 -
::1 - - [18/Jan/2016:23:33:02 +0100] "GET /phpmyadmin/index.php?token=64fd188b4807dd82d212838710c00940 HTTP/1.1" 200 46498
::1 - - [18/Jan/2016:23:33:02 +0100] "GET /phpmyadmin/phpmyadmin.css.php?server=1&token=64fd188b4807dd82d212838710c00940&nocache=5810817952ltr HTTP/1.1" 200 88608
::1 - - [18/Jan/2016:23:33:02 +0100] "GET /phpmyadmin/js/messages.php?lang=nl&db=&server=0&token=64fd188b4807dd82d212838710c00940 HTTP/1.1" 200 18194
::1 - - [18/Jan/2016:23:33:03 +0100] "GET /phpmyadmin/version_check.php?&_nocache=1453156383008707792 HTTP/1.1" 200 41
::1 - - [18/Jan/2016:23:33:05 +0100] "GET /phpmyadmin/db_structure.php?server=1&db=db_kinepolis&token=64fd188b4807dd82d212838710c00940&ajax_request=true&ajax_page_request=true&menuHashes=1b06ec8a&_nocache=1453156385129919682 HTTP/1.1" 200 24349
::1 - - [18/Jan/2016:23:33:07 +0100] "GET /phpmyadmin/sql.php?db=db_kinepolis&token=64fd188b4807dd82d212838710c00940&goto=db_structure.php&table=tbl_gebruiker&pos=0&ajax_request=true&ajax_page_request=true&menuHashes=1b06ec8a-3fd08655&_nocache=1453156387005870360 HTTP/1.1" 200 20889
::1 - - [18/Jan/2016:23:33:07 +0100] "GET /phpmyadmin/index.php?ajax_request=1&recent_table=1&token=64fd188b4807dd82d212838710c00940 HTTP/1.1" 200 237
::1 - - [18/Jan/2016:23:33:10 +0100] "GET /phpmyadmin/index.php?token=64fd188b4807dd82d212838710c00940 HTTP/1.1" 200 46584
::1 - - [18/Jan/2016:23:33:12 +0100] "GET /phpmyadmin/themes/pmahomme/jquery/jquery-ui-1.9.2.custom.css HTTP/1.1" 304 -
